Starting_Point_1,Starting_Point_2,Function_Value,Search_Direction_1,Search_Direction_2,Step_Length,Number_of_Objective_Evaluations
-1.5,1,226.76847120337,0.949310105443621,0.314341094517755,1.6003503109638,5
0.0192287224477783,1.50305586836019,1.63792388230789,0.595719894897516,-0.803192260186372,1.12501092500302,12
0.689420112449132,0.599455800772658,0.0646787409657376,0.788418978892226,-0.615138613421836,0.0714765435857187,19
0.74577357595773,0.555487818859153,0.0644557501526553,0.949186068903074,0.314715437499226,0.00134732316923607,29
0.747052436340279,0.555911842259812,0.035473323859332,0.55382433146133,0.832633538768053,0.159995308064883,37
0.835661730866262,0.68912930180016,0.00752370762289504,0.483135748386232,0.87554545777548,0.18887973494195,42
0.926916282962435,0.854502095794422,0.0055256014114494,-0.485347895753712,0.874321119547872,0.00252023765282615,49
0.925693090920836,0.856705592800567,0.00119725256574863,0.474199117527255,0.880417626434394,0.101751813747469,57
0.973943711206683,0.946289683145508,1.28347776523473e-05,0.433598061445328,0.901106387232303,0.0569341812947024,64
0.998630261846043,0.997593437562006,2.29980294471231e-07,0.480124472047634,0.87720037126131,0.0037149607840679,71
1.00041390543117,1.00085220254101,7.59462851345938e-11,-0.437301113802709,-0.899315148247215,0.000956037271805798,81
0.999995829267374,0.999992423740188,6.55073390364382e-17,0.482337911516733,0.875985239095772,8.63215241083817e-06,92
